24 1
14 1
15 1
1000 2
1001 2
1002 2
1003 2
1005 2
1006 2
1007 2
1008 2
1009 2
1010 2
1011 2
1012 2
1013 2
1014 2
1015 2
1016 2
1017 2
1018 2
1019 2
1020 2
1021 2
1022 2
1023 2
1024 2
1025 2
1026 2
1027 2
1028 2
1029 2
1030 2
1031 2
1032 2
1033 2
1034 2
1035 2
2000 2
2001 2
2002 2
2003 2
2005 2
2006 2
2007 2
2008 2
2009 2
2010 2
2011 2
2012 2
2013 2
2014 2
2015 2
2016 2
2017 2
2018 2
2019 2
2020 2
2021 2
2022 2
2023 2
2024 2
2025 2
2026 2
2027 2
2028 2
2029 2
2030 2
2031 2
2032 2
2033 2
2034 2
2035 2
2 3
41 3
4000 4
4 5
43 5
75 6
76 6
90 6
91 6
93 6
170 8
28 8
60 8
17 9
53 9
18 9
54 9
11 7
12 7
13 7
192 7
26 7
48 7
50 7
51 7
52 7
58 7
9 7
